GY410,Project and Construction Management ,360,,,
GY413,Energy Systems Engineering ,505,,,
GY414,Electrical and Electronic Engineering ,490,,,
GY501,Medicine year course and embedded PhD options ,,,,
GY502,Occupational Therapy ,535,530,,
GY503,Speech and Language Therapy ,530,525,,
GY504,Podiatry ,450,435,,
GY515,General Nursing and ,460,455,,
GY516,Psychiatric Nursing ,440,,,
GY517,Midwifery ,450,440,,
GY525,Mature Applicants General Nursing and Port ,,,,
GY526,Mature Applicants Psychiatric Nursing ,,,,
GY527,Mature Applicants Midwifery ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LY108,Business Accounting ,335,,,
LY118,Business ,300,,,
LY208,Law ,275,,,
LY218,Business with ,250,250,,
LY228,Sports Coaching and Performance ,250,,,
LY318,Culinary Arts and Food Technology at ,283,225,,
LY408,Visual Communication and Graphic Design ,290,,,
LY508,Fire Safety Engineering ,220,220,,
LY518,Quantity Surveying ,285,,,
LY708,Computing ,300,,,
LY818,Science Common Entry ,305,,,
LY908,General Nursing ,,,,
LY918,Psychiatric Nursing ,380,,,
LY928,Intellectual Disability Nursing ,350,,,
LY938,Mature Applicants General Nursing ,,,,
LY948,Mature Applicants Psychiatric Nursing ,,,,
LY958,Mature Applicants Intellectual Disability Nursing ,,,,
LY968,Early Childhood Care Health and Education ,275,,,
LY978,Health and Social Care ,300,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MI001,Contemporary and Applied Theatre Studies ,305,275,,
MI004,Liberal Arts ,335,,,
